chord,x,y,color
Daddb6,-41.836605,-1.3017573,-15.121293
Daug,32.912476,1.2439296,13.070129
Db,41.36571,-0.02669992,15.989644
Db/Ab,40.19069,0.006991503,15.747878
Db/Bb,-38.98864,2.1855025,-14.272644
Db/C,-32.539684,3.4529855,-16.48871
Db/Cb,-33.849815,7.4349694,-13.731638
Db/Eb,37.382492,3.0943577,14.746166
Db/F,39.26477,-1.1722018,15.898279
Db5,15.317509,13.694185,4.377926
Db6,36.698883,0.21640304,14.196212
Db7,23.24716,-6.1778855,9.85056
Db7(b5),-22.304367,1.9652624,-11.479669
Db7-9,-29.683973,6.422495,-10.716559
Db9,32.47915,4.9834027,13.515232
DbM7,-29.790258,12.583651,-12.102486
Dbadd9,40.173965,-0.0029467486,15.78766
Dbdim,40.054085,0.8867551,15.616242
Dbdim7,32.526417,3.3282351,13.343274
Dbm,40.693893,-3.3429575,16.285814
Dbm7,40.632572,2.2921758,15.626917
Dbm9,-35.87316,-2.2268682,-13.784459
Dbmaj13,-31.778648,7.739737,-13.357497
Dbmaj7,41.88707,4.591383,15.510764
Dbmaj7/C,38.02671,1.595206,15.0719185
Dbmaj9,29.673212,10.754119,14.814616
Ddim,24.006971,0.5317303,10.47168
Ddim/F,-25.532051,3.490067,-12.837062
Ddim/F#,-32.641083,9.772983,-12.152363
Ddim7,29.155344,9.549181,14.753858
Dm,19.234406,-17.440245,6.6986766
Dm#5,-25.78818,-4.536138,-11.958488
Dm(maj7),-29.804754,4.0856857,-11.664981
Dm/A,9.785917,-8.505282,5.093244
Dm/B,29.757057,1.3335428,12.310095
Dm/Bb,7.638517,-9.134641,3.3484917
Dm/C,19.171965,-16.69653,6.7619705
Dm/C#,-22.59271,7.6304917,-11.35959
Dm/Db,-44.205303,8.902145,-16.265831
Dm/F,28.189262,2.6945176,11.108022
Dm/F#,-29.308443,-9.195978,-9.183823
Dm/G,-19.28911,6.4705915,-9.49765
Dm11,-33.54974,-0.385875,-13.567153
Dm6,34.615246,-8.226275,10.08539
Dm6/A,32.61368,1.5419025,13.158781
Dm7,30.202383,-3.1141946,12.344886
Dm7/A,18.383905,-17.11691,6.5326467
Dm7/B,-32.9439,5.475529,-13.194419
Dm7/C,27.352234,3.457571,12.354247
Dm7/F,24.401295,-4.963455,10.301515
Dm7/G,27.705448,5.316261,12.024307
Dm7add11,16.23517,-1.6428398,7.052607
Dm7add4,32.128025,-11.511765,11.271355
Dm7b5,41.370758,-1.4942486,15.693987
Dm9,29.294994,-4.6765614,11.520914
DmM7,32.8577,2.7509267,13.545766
Dmadd4,-38.482193,8.549769,-14.626679
Dmadd9,-29.949585,12.464705,-12.339346
Dmadd9/A,12.458404,10.195507,4.639615
Dmaj,18.158653,10.396253,11.007294
Dmaj13,21.708876,9.756335,8.597473
Dmaj7,7.867159,-0.6834692,2.1996758
Dmaj7#5,8.346085,-1.7746639,2.414127
Dmaj7#5/B,-30.90454,-5.116406,-13.092209
Dmaj7/C#,10.961029,-3.349045,5.7641706
Dmaj7/F#,15.542144,-10.619651,8.221313
Dmaj7sus2,5.7933807,-6.422372,2.8708968
Dmaj9,4.93588,3.1999617,1.6586913
Dmaj9/F#,16.05361,-13.501108,7.34967
Dmmaj7,15.443419,2.522303,6.754948
Dmmaj7/C#,32.37895,4.145409,13.351965
Do,-26.667173,6.597099,-10.494161
Dsus,10.232761,-13.143471,4.899808
Dsus/A,-38.889896,0.3549473,-14.642447
Dsus/F#,22.789696,-2.4302237,9.022371
Dsus2,21.41194,10.508625,8.403055
Dsus2/C,14.430324,-0.8644509,6.5228777
Dsus2/C#,-27.414036,6.621381,-10.567421
Dsus2/E,-42.345955,4.7862697,-15.972265
Dsus2/F#,16.404144,-6.981736,7.088604
Dsus4,19.758593,-11.296381,8.143708
Dsus4/A,16.211674,-4.0227256,7.1556687
Dsus4/B,-31.799597,-4.413648,-13.046644
Dsus4/C,-29.525919,5.8961577,-10.806716
Dsus4/D,25.388424,0.2794876,10.817335
